Date,Open,High,Low,Close,Adj Close,Volume
2015-02-02,69.080002,69.379997,65.739998,69.379997,69.379997,9992200
2015-02-03,67.300003,68.970001,66.699997,67.970001,67.970001,8797300
2015-02-04,68.800003,72.230003,68.800003,71.699997,71.699997,6394900
2015-02-05,71.290001,71.349998,68.629997,69.599998,69.599998,5159600
2015-02-06,69.040001,69.330002,67.139999,67.580002,67.580002,6422100
2015-02-09,65.699997,66.669998,63.759998,64.570000,64.570000,7972300
2015-02-10,65.400002,67.709999,65.230003,67.629997,67.629997,5488300
2015-02-11,68.339996,68.580002,66.570000,67.120003,67.120003,4394800
2015-02-12,66.010002,67.550003,64.849998,67.339996,67.339996,4416500
2015-02-13,66.110001,66.589996,65.389999,66.230003,66.230003,4363900
2015-02-17,66.500000,67.430000,64.720001,64.930000,64.930000,4447300
2015-02-18,65.900002,66.739998,64.500000,66.720001,66.720001,4396000
2015-02-19,68.449997,68.919998,66.040001,66.089996,66.089996,4806200
2015-02-20,66.089996,68.279999,65.519997,68.010002,68.010002,4697100
2015-02-23,69.029999,69.830002,67.980003,68.839996,68.839996,5117000
2015-02-24,67.949997,71.379997,67.269997,70.889999,70.889999,5178400
2015-02-25,70.559998,70.790001,68.669998,68.690002,68.690002,4416900
2015-02-26,69.629997,69.699997,66.389999,67.419998,67.419998,7527400
2015-02-27,67.510002,67.610001,64.709999,65.180000,65.180000,5823900
